Price,Close,High,Low,Open,Volume
Ticker,NTPC.NS,NTPC.NS,NTPC.NS,NTPC.NS,NTPC.NS
Date,,,,,
2021-01-01,80.09651947021484,81.02645895211731,79.89435764032484,80.8242971222273,13493039
2021-01-04,80.09651947021484,80.86473195600108,79.65176097666107,80.66257012611108,22325584
2021-01-05,78.92399597167969,79.57091644935784,78.43880869816654,79.57091644935784,23510160
2021-01-06,79.12613677978516,80.05608240525926,78.64094963546933,79.24743510823643,21952878
2021-01-07,78.43879699707031,79.65176808465387,78.31749865441395,79.32830789406692,24999580
2021-01-08,80.98603057861328,81.2690559075776,78.72181560791981,78.92397743853567,43240591
2021-01-11,80.05608367919922,81.87554012645374,79.8134870184362,81.4712164715083,22036573
2021-01-12,80.98603057861328,81.67337956880932,79.49003426595378,80.05608492388241,24262426
2021-01-13,82.92678833007812,84.38234986048678,80.98603345337689,81.06689695459576,49236964
2021-01-14,82.64376068115234,83.97803010678972,82.23943698668586,83.85673176455178,29301114
2021-01-15,81.2286148071289,83.7758549102752,80.7838625157789,82.88634415808622,24067229
2021-01-18,78.88355255126953,81.5925199773371,78.27706703038173,81.22862496311058,23613664
2021-01-19,80.58171844482422,81.5520929027994,78.88356005862249,79.2474489379906,22934496
2021-01-20,79.49004364013672,80.62214508950161,79.24744694699271,80.541281581617,25599184
2021-01-21,77.71101379394531,80.17739082818171,77.30669009452885,79.81349579701288,22667011
2021-01-22,76.05329132080078,78.03447500600699,75.12334556610578,77.8727479919253,26029669
2021-01-25,75.36593627929688,77.06410077893293,74.96161257357213,76.86193892607055,18599824
2021-01-27,73.82951354980469,75.28507523636476,73.42518983084517,75.20421172647092,22812859
2021-01-28,74.07209014892578,74.92117226685207,73.06128104162742,73.42517602194833,32227832
2021-01-29,71.92918395996094,74.88074821197377,71.28226973987638,74.39556100453784,36962884
2021-02-01,74.39555358886719,74.71901375141232,71.48442446493983,72.25263695268127,29033297
2021-02-02,76.1341552734375,77.10452970258723,75.12334600578562,75.12334600578562,29279584
2021-02-03,78.39835357666016,79.32829920922872,76.25544315879304,76.90235729965298,31420256
2021-02-04,80.09651947021484,81.02645895211731,78.43878999732105,78.68138666098483,39264443
2021-02-05,80.46041107177734,82.48202944041496,79.36873838661096,81.18819491838481,54911202
2021-02-08,81.10733795166016,81.63295383425859,77.71101511704255,77.7918786244046,53737961
2021-02-09,80.82429504394531,81.8351041674038,80.46040622729596,81.18819003008393,28074809
2021-02-10,80.7434310913086,81.26905306643212,79.77305680607226,80.86472941933545,19070866
2021-02-11,81.11861419677734,81.61883046825058,80.24323095125295,81.61883046825058,18452535
2021-02-12,79.99312591552734,81.61883687619462,79.03438063684656,81.53546855116961,21660998
2021-02-15,79.36784362792969,80.61838742265921,79.20110699953695,80.40996345687095,12574055
2021-02-16,81.70219421386719,82.66094572421007,79.61795456555426,79.90974684419913,32865663
2021-02-17,82.82768249511719,83.49464172796893,80.86849849443284,81.57713870396617,28774857
2021-02-18,86.20413970947266,86.91277980748691,82.99441242275374,83.11946169371406,50705280
2021-02-19,86.87110137939453,88.99702825189772,84.53675691373411,86.41257249749776,61069583
2021-02-22,85.07867431640625,88.62188210701589,84.53677067631159,86.95449020555253,30636415
2021-02-23,86.20413970947266,86.82941150664882,83.82810815232196,85.16202004751239,31233104
2021-02-24,86.03739929199219,87.28794292333274,85.12033523446121,87.12120631672485,16153025
2021-02-25,90.03915405273438,91.87328242438552,85.87067469844112,86.37089094883736,68361756
2021-02-26,89.45555877685547,92.4985432526772,87.37131934925488,89.28881580629105,67331805
2021-03-01,90.41431427001953,91.53980877941964,89.33051345881954,91.28969747497635,27205189
2021-03-02,93.83247375488281,94.79121892755529,89.95578664420766,90.41431556144347,53649872
2021-03-03,93.95752716064453,95.624918992142,93.37394256385844,95.41649501320481,31702057
2021-03-04,92.37350463867188,94.20763300244622,92.12339333425051,92.95708920152879,28057179
2021-03-05,90.62274169921875,93.66573300343173,90.37263674581456,92.54024481162554,24778407
2021-03-08,92.16507720947266,94.4577407583591,91.28969403747823,92.24844552094963,28163362
2021-03-09,91.2896957397461,93.24887971866282,89.58061669992398,92.87371912972361,20611697
2021-03-10,91.41474914550781,92.20675764075678,90.8311582474241,91.99833368299711,13207045
2021-03-12,90.95621490478516,93.45730242568995,90.53936698463436,92.54023827347709,21763020
2021-03-15,92.12338256835938,92.54023045328407,89.78903186854346,91.66484735070462,20350674
2021-03-16,91.33138275146484,92.91539977520948,91.1229587893306,92.16507860000182,15360040
2021-03-17,88.8302993774414,91.62317932907871,88.49681975024706,91.45643633518412,18850429
2021-03-18,86.53762817382812,90.24757200773759,86.0374055961643,89.53893183683957,20023557
2021-03-19,90.45600128173828,91.33138448354136,85.03697816347747,85.32877044388027,72249183
2021-03-22,91.58148193359375,92.16507280724655,89.08039454518102,90.70610516400579,31980425
2021-03-23,90.58104705810547,91.87327169060578,90.12251183846712,91.70653508015218,14060206
