Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,INFY.NS,M&M.NS,NTPC.NS,TCS.NS,INFY.NS,M&M.NS,NTPC.NS,TCS.NS,INFY.NS,M&M.NS,NTPC.NS,TCS.NS,INFY.NS,M&M.NS,NTPC.NS,TCS.NS,INFY.NS,M&M.NS,NTPC.NS,TCS.NS
Date,,,,,,,,,,,,,,,,,,,,
2021-02-17,1177.9324951171875,870.7698364257812,82.82768249511719,2821.4560546875,1190.0675539065262,875.7187557312265,83.49464172796893,2876.3133629138574,1172.1406961999387,860.9195718481452,80.86849849443284,2796.1619706671545,1186.298339602445,861.3002802900843,81.57713870396617,2850.835700934252,4575741,3903522,28774857,3678426
2021-02-18,1188.1829833984375,851.2596435546875,86.20413970947266,2806.99560546875,1200.639897050837,870.7697586586178,86.91277980748691,2844.2249445777006,1172.1407877027698,848.5948589629596,82.99441242275374,2782.8032146851538,1173.0601138107718,870.7697586586178,83.11946169371406,2814.019087103265,6437551,4616205,50705280,4189909
2021-02-19,1187.1259765625,836.793701171875,86.87110900878906,2820.308349609375,1194.6644065745727,861.9189489858884,88.99703606800031,2834.3553133399528,1173.7957465545499,821.1855838801463,84.53676433811646,2769.1692246779294,1191.5386750247728,847.024616483331,86.41258008662233,2807.5923820910934,5389696,5171996,61069583,3725028
2021-02-22,1163.1314697265625,796.6788940429688,85.07865905761719,2716.193603515625,1202.9843504929595,839.8866855787433,88.62186621275548,2842.4801958043413,1158.3510183493338,792.8720422103172,84.5367555147125,2702.1464181833303,1190.527435525704,837.507403183336,86.95447461033746,2842.4801958043413,7371303,5960870,30636415,5366696
2021-02-23,1164.188720703125,800.3431396484375,86.20413970947266,2736.163330078125,1186.8501341679375,815.5705491834794,86.82941150664882,2780.0492246228955,1156.098717408642,779.5481736493713,83.82810815232196,2724.962383976471,1168.6015313891612,801.4375748559941,85.16202004751239,2726.7986119980183,6612942,7348084,31233104,3832829
2021-02-24,1171.497314453125,808.575439453125,86.03741455078125,2706.691650390625,1173.6116971863705,814.5712785493587,87.28795840390653,2757.417442843524,1150.9962971783107,799.4390167822258,85.12035033060837,2681.948301721178,1158.396917300736,800.485877973781,87.12122176772782,2728.6344827152157,4537258,3184114,16153025,3774549
2021-02-25,1171.72705078125,817.521484375,90.03914642333984,2750.027099609375,1194.894022132121,824.7544800935441,91.87327463957762,2781.793711721477,1169.3827244870615,801.3899370645615,85.8706674222593,2725.3756473414346,1184.5055929768778,811.9063543204794,86.37088363027013,2730.4712252243485,8788221,6134649,68361756,4224073
2021-02-26,1152.19140625,767.4613647460938,89.45556640625,2657.297119140625,1171.4972536836406,815.2849416445603,92.49855114159868,2728.9559542305587,1144.3311234773355,759.9428090233936,87.37132680089091,2644.1680454739426,1166.6247806328488,807.1001752230975,89.28882342146457,2717.617157848219,15132388,12073749,67331805,5553153
2021-03-01,1164.786376953125,779.8812866210938,90.41429901123047,2684.748779296875,1180.8745865795493,811.525746190154,91.5397933306863,2722.2078734476236,1157.431766838188,776.7882191444187,89.33049838293833,2664.1831163880674,1161.3849146639443,781.3564302616091,91.28968206845308,2686.401429243759,5756286,9223619,27205189,3265871
2021-03-02,1199.2607421875,818.5208129882812,93.83247375488281,2760.17138671875,1204.3170350828862,826.0869435008398,94.79121892755529,2777.2941186502203,1176.0017499797598,780.452290246307,89.95578664420766,2706.5993592663967,1178.8057391107104,792.729412065776,90.41431556144347,2717.6167243651744,10461434,9706013,53649872,3306469
2021-03-03,1235.16064453125,810.9071044921875,93.95751190185547,2808.602294921875,1238.3322747334678,826.0869394792417,95.62490346256698,2813.1009633303047,1202.4785563113408,806.1485391726067,93.37392739984406,2751.4954315560376,1212.7749638923146,825.0876523797208,95.41647951747804,2786.475660478941,9056399,5028771,31702057,3509857
2021-03-04,1223.025390625,804.4354248046875,92.37349700927734,2799.971923828125,1253.8228133617442,816.8552680154924,94.20762522156575,2829.1220402346203,1218.9344345832656,794.490012194244,92.1233857255134,2769.0774806663135,1227.3002792105542,801.1995773230279,92.95708152393433,2775.4583274593724,12041941,4574138,28057179,3916760
2021-03-05,1210.4765625,799.8196411132812,90.62273406982422,2761.732177734375,1231.8969043071436,819.1869777350961,93.66572511785226,2812.3660626196943,1199.766503818846,797.8685829619933,90.372629137476,2751.21981987079,1221.324654755254,799.4389326720659,92.54023702079925,2769.123038431532,6486176,5179108,24778407,3203686
2021-03-08,1227.98974609375,809.9077758789062,92.16508483886719,2760.722412109375,1237.5047480715543,815.9511302898252,94.45774857753955,2784.6393228675074,1210.9362033271575,799.4389327124339,91.28970159440883,2750.6691102245472,1217.9231709417459,807.0050628003385,92.24845315724536,2769.03138732885,5119392,3474579,28163362,2003125
2021-03-09,1236.9993896484375,810.8594970703125,91.2896957397461,2801.119384765625,1241.5039981643636,823.8979771267099,93.24887971866282,2815.7632557332377,1212.3614030705235,801.3423668230083,89.58061669992398,2747.088519588726,1222.2441595315722,811.811210095043,92.87371912972361,2760.722375669377,6518173,3536262,20611697,1942397
2021-03-10,1257.776123046875,822.0896606445312,91.41474914550781,2819.48193359375,1263.154158701664,832.7488576399122,92.20675764075678,2839.909968573129,1245.6869614561533,808.0043201557548,90.8311582474241,2809.4286308718824,1247.4337036251911,815.0470194441183,91.99833368299711,2823.2003398467446,7925984,3971353,13207045,3053778
2021-03-12,1263.935546875,814.4760131835938,90.95622253417969,2807.546630859375,1279.426170204986,833.8909825579951,93.45731026487535,2861.7613067980546,1259.5228486465915,803.3885910499984,90.53937457906375,2792.3060731148994,1262.23481592585,827.514493531935,92.54024603573927,2823.200519218485,9462061,4012449,21763020,2938317
2021-03-15,1262.7862548828125,803.62646484375,92.1233901977539,2815.074951171875,1268.5780539557945,820.3765900835945,92.54023811720076,2845.235083585809,1248.9044538068813,784.2114967852458,89.78903930461375,2791.984475374136,1259.4767035078596,820.3765900835945,91.66485494212458,2791.984475374136,6658635,3069303,20350674,3097083
2021-03-16,1272.3472900390625,802.1513671875,91.33138275146484,2855.38037109375,1292.5724637246547,815.1422743038835,92.91539977520948,2883.795953375386,1269.1296487709,799.4390080738611,91.1229587893306,2809.4287224860495,1274.2319533850975,810.8595653320592,92.16507860000182,2809.4287224860495,9352771,2996797,15360040,4894756
2021-03-17,1275.1053466796875,796.5362548828125,88.83030700683594,2858.04248046875,1287.0565864106434,810.2408880544365,91.62318719834617,2896.649212906361,1270.5087160139353,793.4431874467506,88.49682735099994,2832.656722034214,1279.9318088787275,806.6719640897497,91.45644419013047,2850.743520150317,7626744,2034583,18850429,3838390
2021-03-18,1229.23095703125,804.8161010742188,86.53762817382812,2787.852783203125,1281.310805208516,818.9965895582922,90.24757200773759,2888.799358993528,1207.5348826126535,793.7286216729832,86.0374055961643,2742.452096885401,1281.310805208516,801.3423254779999,89.53893183683957,2869.9780245441084,10961755,5033325,20023557,3656306
2021-03-19,1235.988037109375,809.2415771484375,90.45600128173828,2800.43115234375,1245.8707935387567,818.4732051496934,91.33138448354136,2845.2351583636414,1211.6719045511722,780.9281145284336,85.03697816347747,2758.932446235154,1222.7038187049006,799.3913705309453,85.32877044388027,2781.8852952054963,12767112,7538327,72249183,5776626
2021-03-22,1260.21240234375,811.8587646484375,91.58148193359375,2873.375244140625,1264.992853704239,817.8545449427819,92.16507280724655,2882.3728057122935,1228.3117158071361,791.9679977616154,89.08039454518102,2771.4645953294735,1241.1822826326152,808.7656973922807,90.70610516400579,2799.0539644545274,4862758,2906300,31980425,2821646
2021-03-23,1260.9017333984375,803.8643798828125,90.5810546875,2885.26513671875,1271.6578036752014,823.2317155037024,91.87327942884086,2909.5032565807105,1249.9157193786161,800.8664608050469,90.12251942924047,2867.1323852774535,1261.729037094787,818.4255766434961,91.70654280434348,2882.877950666908,7165335,3925212,14060206,3305973
2021-03-24,1244.537841796875,772.2200317382812,88.37176513671875,2865.525146484375,1259.8905444299746,804.1975686284421,91.20633246039287,2894.17025297078,1237.6428953049256,769.5551885908031,88.03828550559328,2856.389734614115,1248.3070567679868,795.8700790124672,90.03915693175118,2856.435685135103,6134303,4066262,15196366,2207104
2021-03-25,1226.1971435546875,753.47119140625,85.87067413330078,2813.881103515625,1243.3884959854445,774.6943796235556,88.78860966210226,2874.4766128927563,1220.4972546499903,750.0449897639892,85.57888185253957,2800.247024246222,1238.1023711411442,772.6005994123881,88.37176172941633,2857.3536564355018,8749994,4501404,22543755,3179786
2021-03-26,1228.4036865234375,760.7518310546875,86.87110900878906,2815.672119140625,1247.2498745895612,775.3130877216315,88.16334017977549,2862.6795120976903,1224.5425611744768,753.8995433148984,86.45426106467666,2793.866911182857,1236.2179596240253,761.2276875970593,88.16334017977549,2837.569004010962,4922071,4170972,17402475,3697370
2021-03-30,1273.54248046875,756.61181640625,89.78905487060547,2899.908935546875,1287.0565291357054,766.6523766919128,90.6227508540302,2927.360453692294,1228.3575805906796,745.1912606869104,87.20459859410792,2810.254971553946,1238.2403360822573,766.6523766919128,88.24671857338883,2830.545380025895,10546381,5670999,36129962,4694008
2021-03-31,1257.6839599609375,756.8497314453125,88.83030700683594,2917.628173828125,1276.024468491575,766.8427175253826,90.872859562864,2942.554875076,1253.317161527699,751.9483864660984,88.45514000879716,2875.53256434884,1270.5085125759051,756.7069512661318,89.7890522715458,2896.649182797123,8220987,3972382,23063667,3530069
2021-04-01,1273.4505615234375,768.603515625,89.9557876586914,2905.830322265625,1279.3342714361881,770.6972961696506,90.66442789193468,2951.7360145605007,1260.3961748421996,742.0983276699217,89.1637727481061,2887.468045347675,1268.670110344446,762.7980886533404,89.62230803110785,2929.7931833031053,5675155,5678798,13753303,4285076
